	PCO1 (20.86%)	PCO2 (17.33%)	
Sample146	-0.010060539	-0.046491356	primary
Sample147	0.001194111	0.015149227	primary
Sample148	0.038692096	0.006085767	primary
Sample149	0.051748964	-0.049024316	primary
Sample150	0.042915343	-0.076112152	primary
Sample151	0.006334883	-0.079210996	primary
Sample152	0.035725558	-0.116284806	primary
Sample153	-0.07273505	0.022286312	primary
Sample154	0.007571413	-0.038748175	primary
Sample155	-0.007051931	-0.066724317	primary
Sample156	-0.019580366	0.023621558	primary
Sample157	0.058776486	-0.070999192	primary
Sample158	-0.067068754	-0.035747374	primary
Sample159	-0.03005889	-0.068868968	primary
Sample160	-0.007592511	-0.017826086	primary
Sample161	-0.019346461	0.031182267	primary
Sample162	0.108291803	-0.027756572	primary
Sample163	-0.042341861	-0.061734761	primary
Sample164	0.090693484	-0.06119078	primary
Sample165	0.057452284	-0.018653069	primary
Sample166	0.008210943	0.020133031	primary
Sample167	-0.022784608	-0.040084091	primary
Sample168	0.068334977	-0.080227747	primary
Sample169	0.169564045	-0.000759678	primary
Sample170	0.008490763	-0.089203987	primary
Sample171	-0.009939893	-0.021295254	primary
Sample172	0.014779183	-0.047902389	primary
Sample173	-0.005251211	0.008560067	primary
Sample174	-0.039890757	-0.053358781	primary
Sample175	0.008341465	-0.024017932	primary
Sample176	-0.01458793	-0.02253948	primary
Sample177	-0.028382822	0.011407578	primary
Sample178	0.024544492	-0.075169039	primary
Sample179	-0.002157768	-0.052584303	primary
Sample180	0.095658948	-0.074346391	primary
Sample181	-0.007941377	-0.092058848	primary
Sample182	0.078423099	0.01115552	primary
Sample183	-0.028644278	-7.31E-05	primary
Sample184	-0.077814086	-0.013660386	primary
Sample185	0.003756493	-0.057008311	primary
Sample186	-0.046761015	0.011006033	primary
Sample187	-0.095721002	-0.066326876	primary
Sample188	-0.096733402	-0.100752507	primary
Sample189	0.014305944	-0.028852532	primary
Sample190	-0.085158808	-0.020436774	primary
Sample191	-0.002700503	-0.054743103	primary
Sample192	0.043628672	0.068336423	primary
Sample193	-0.018288591	-0.046260894	primary
Sample194	0.118209874	-0.065659079	primary
Sample195	0.124267478	0.00667553	ACS
Sample196	0.026967065	-0.07630398	ACS
Sample197	0.103300137	-0.00465077	ACS
Sample198	0.038136515	-0.043577369	ACS
Sample199	-0.004446671	0.048386367	ACS
Sample200	0.000215678	0.010725296	ACS
Sample201	-0.0168453	0.016740028	ACS
Sample202	-0.019299792	-0.022460679	ACS
Sample203	0.132345665	0.100201502	ACS
Sample204	0.082096559	0.105576015	ACS
Sample205	0.003902063	-0.003963831	ACS
Sample206	0.109227139	0.019850899	ACS
Sample207	-0.045930835	0.004719726	ACS
Sample208	-0.110463325	0.095396845	ACS
Sample209	0.034601195	0.018745025	ACS
Sample210	-0.068765768	0.074965539	ACS
Sample211	-0.071271679	0.085165796	ACS
Sample212	-0.078482742	-0.020628085	ACS
Sample213	-0.075088011	-0.063408587	ACS
Sample214	-0.066120351	0.11497525	ACS
Sample215	-0.089789771	0.011301234	ACS
Sample216	0.034034332	0.002455105	ACS
Sample217	-0.115164748	-0.073287568	ACS
Sample218	0.068725001	0.085105126	ACS
Sample219	-0.005300555	0.074651538	ACS
Sample220	0.006400835	0.0123249	ACS
Sample221	0.032550302	0.029137941	ACS
Sample222	-0.024731187	0.061163181	ACS
Sample223	-0.053402535	0.058082511	ACS
Sample224	0.036804355	-0.047537685	ACS
Sample225	-0.046693926	0.06135749	ACS
Sample226	-0.115512156	-0.056581993	ACS
Sample227	0.016240674	0.022729564	ACS
Sample228	-0.060170502	0.094139144	ACS
Sample229	0.007917153	0.091016298	ACS
Sample230	-0.021796056	0.096804263	ACS
Sample231	-0.037148727	-0.018360531	ACS
Sample232	0.054211849	-0.081352548	ACS
Sample233	0.021014042	-0.015000926	ACS
Sample234	-0.068185617	0.005411922	ACS
Sample235	-0.091466742	0.009444289	ACS
Sample236	-0.024334478	-0.022207917	ACS
Sample237	-0.029622088	-0.034232225	ACS
Sample238	0.001442877	0.183420363	ACS
Sample239	0.033696767	-0.002203651	ACS
Sample240	-0.016691269	0.083163755	ACS
Sample241	0.009410868	0.003157515	ACS
Sample242	-0.026245237	0.037245848	ACS
Sample243	-0.039179657	-0.007736933	ACS
Sample244	0.060415139	0.040431126	ACS
Sample245	-0.031622832	0.011048704	ACS
Sample246	0.01065728	-0.006863497	ACS
Sample247	-0.015522153	0.031017146	ACS
Sample248	0.133281663	-0.013828016	ACS
Sample249	-0.02485844	-0.042950371	ACS
Sample250	-0.007886668	-0.007004556	ACS
Sample251	0.001451658	0.039916878	ACS
Sample252	-0.026593586	0.046055192	ACS
Sample253	-0.01608712	-0.060526461	ACS
Sample254	0.078456398	0.086106522	ACS
Sample255	0.050528855	0.118855674	ACS
Sample256	0.000935182	0.013677272	ACS
